  0,   0,   0,   0,   0,   0,   0,   8, -16,   4,   5,   0,   0,   0
  0,   0,   0,   0,   0,   0,   0,  -8,  16,  -4,  -5,   0,   0,   2
  0,   0,   0,   0,   0,   0,   0,   8, -16,   4,   5,   0,   0,   2
  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -1,   2,   2
  0,   0,   0,   0,   0,   0,   0,  -4,   8,  -1,  -5,   0,   0,   2
  0,   0,   0,   0,   0,   0,   0,   4,  -8,   3,   0,   0,   0,   1
  0,   0,   1,  -1,   1,   0,   0,   3,  -8,   3,   0,   0,   0,   0
 -1,   0,   0,   0,   0,   0,  10,  -3,   0,   0,   0,   0,   0,   0
  0,   0,   0,   0,   0,   0,   0,   0,   0,  -2,   6,  -3,   0,   2
  0,   0,   0,   0,   0,   0,   0,   4,  -8,   3,   0,   0,   0,   0
  0,   0,   1,  -1,   1,   0,   0,  -5,   8,  -3,   0,   0,   0,   0
  0,   0,   0,   0,   0,   0,   0,  -4,   8,  -3,   0,   0,   0,   1
  0,   0,   0,   0,   0,   0,   0,   4,  -8,   1,   5,   0,   0,   2
  0,   0,   0,   0,   0,   0,  -5,   6,   4,   0,   0,   0,   0,   2
  0,   0,   0,   0,   0,   0,   0,   0,   0,   2,  -5,   0,   0,   2
  0,   0,   0,   0,   0,   0,   0,   0,   0,   2,  -5,   0,   0,   1
  0,   0,   1,  -1,   1,   0,   0,  -1,   0,   2,  -5,   0,   0,   0
  0,   0,   0,   0,   0,   0,   0,   0,   0,   2,  -5,   0,   0,   0
  0,   0,   1,  -1,   1,   0,   0,  -1,   0,  -2,   5,   0,   0,   0
  0,   0,   0,   0,   0,   0,   0,   0,   0,  -2,   5,   0,   0,   1
  0,   0,   0,   0,   0,   0,   0,   0,   0,  -2,   5,   0,   0,   2
  2,   0,  -1,  -1,   0,   0,   0,   3,  -7,   0,   0,   0,   0,   0
  1,   0,   0,  -2,   0,   0,  19, -21,   3,   0,   0,   0,   0,   0
  0,   0,   1,  -1,   1,   0,   2,  -4,   0,  -3,   0,   0,   0,   0
  1,   0,   0,  -1,   1,   0,   0,  -1,   0,   2,   0,   0,   0,   0
  0,   0,   1,  -1,   1,   0,   0,  -1,   0,  -4,  10,   0,   0,   0
 -2,   0,   0,   2,   1,   0,   0,   2,   0,   0,  -5,   0,   0,   0
  0,   0,   0,   0,   0,   0,   3,  -7,   4,   0,   0,   0,   0,   0
  0,   0,  -1,   1,   0,   0,   0,   1,   0,   1,  -1,   0,   0,   0
 -2,   0,   0,   2,   1,   0,   0,   2,   0,  -2,   0,   0,   0,   0
 -1,   0,   0,   0,   0,   0,  18, -16,   0,   0,   0,   0,   0,   0
 -2,   0,   1,   1,   2,   0,   0,   1,   0,  -2,   0,   0,   0,   0
 -1,   0,   1,  -1,   1,   0,  18, -17,   0,   0,   0,   0,   0,   0
 -1,   0,   0,   1,   1,   0,   0,   2,  -2,   0,   0,   0,   0,   0
  0,   0,   0,   0,   0,   0,  -8,  13,   0,   0,   0,   0,   0,   2
  0,   0,   2,  -2,   2,   0,  -8,  11,   0,   0,   0,   0,   0,   0
