 1440,     0,     0,     0
   56,  -117,   -42,   -40
  125,   -43,     0,   -54
    0,     5,     0,     0
    3,    -7,    -3,     0
    3,     0,     0,    -2
 -114,     0,     0,    61
 -219,    89,     0,     0
   -3,     0,     0,     0
 -462,  1604,     0,     0
   99,     0,     0,   -53
   -3,     0,     0,     2
    0,     6,     2,     0
    3,     0,     0,     0
  -12,     0,     0,     0
   14,  -218,   117,     8
   31,  -481,  -257,   -17
 -491,   128,     0,     0
-3084,  5123,  2735,  1647
-1444,  2409, -1286,  -771
   11,   -24,   -11,    -9
   26,    -9,     0,     0
  103,   -60,     0,     0
    0,   -13,    -7,     0
  -26,   -29,   -16,    14
    9,   -27,   -14,    -5
   12,     0,     0,    -6
   -7,     0,     0,     0
    0,    24,     0,     0
  284,     0,     0,  -151
  226,   101,     0,     0
    0,    -8,    -2,     0
    0,    -6,    -3,     0
    5,     0,     0,    -3
  -41,   175,    76,    17
    0,    15,     6,     0
  425,   212,  -133,   269
 1200,   598,   319,  -641
  235,   334,     0,     0
   11,   -12,    -7,    -6
    5,    -6,     3,     3
   -5,     0,     0,     3
    6,     0,     0,    -3
   15,     0,     0,     0
   13,     0,     0,    -7
   -6,    -9,     0,     0
  266,   -78,     0,     0
 -460,  -435,  -232,   246
    0,    15,     7,     0
   -3,     0,     0,     2
    0,   131,     0,     0
    4,     0,     0,     0
    0,     3,     0,     0
    0,     4,     2,     0
    0,     3,     0,     0
  -17,   -19,   -10,     9
   -9,   -11,     6,    -5
   -6,     0,     0,     3
  -16,     8,     0,     0
    0,     3,     0,     0
   11,    24,    11,    -5
   -3,    -4,    -2,     1
    3,     0,     0,    -1
    0,    -8,    -4,     0
    0,     3,     0,     0
    0,     5,     0,     0
    0,     3,     2,     0
   -6,     4,     2,     3
   -3,    -5,     0,     0
   -5,     0,     0,     2
    4,    24,    13,    -2
  -42,    20,     0,     0
  -10,   233,     0,     0
   -3,     0,     0,     1
   78,   -18,     0,     0
    0,     3,     1,     0
    0,    -3,    -1,     0
    0,    -4,    -2,     1
    0,    -8,    -4,    -1
    0,    -5,     3,     0
   -7,     0,     0,     3
  -14,     8,     3,     6
    0,     8,    -4,     0
    0,    19,    10,     0
   45,   -22,     0,     0
   -3,     0,     0,     0
    0,    -3,     0,     0
    0,     3,     0,     0
    3,     5,     3,    -2
   89,   -16,    -9,   -48
    0,     3,     0,     0
   -3,     7,     4,     2
 -349,   -62,     0,     0
  -15,    22,     0,     0
   -3,     0,     0,     0
  -53,     0,     0,     0
    5,     0,     0,    -3
    0,    -8,     0,     0
   15,    -7,    -4,    -8
   -3,     0,     0,     1
  -21,   -78,     0,     0
   20,   -70,   -37,   -11
    0,     6,     3,     0
    5,     3,     2,    -2
  -17,    -4,    -2,     9
    0,     6,     3,     0
   32,    15,    -8,    17
  174,    84,    45,   -93
   11,    56,     0,     0
  -66,   -12,    -6,    35
   47,     8,     4,   -25
    0,     8,     4,     0
   10,   -22,   -12,    -5
   -3,     0,     0,     2
  -24,    12,     0,     0
    5,    -6,     0,     0
    3,     0,     0,    -2
    4,     3,     1,    -2
    0,    29,    15,     0
   -5,    -4,    -2,     2
    8,    -3,    -1,    -5
    0,    -3,     0,     0
   10,     0,     0,     0
    3,     0,     0,    -2
   -5,     0,     0,     3
   46,    66,    35,   -25
  -14,     7,     0,     0
    0,     3,     2,     0
   -5,     0,     0,     0
  -68,   -34,   -18,    36
    0,    14,     7,     0
   10,    -6,    -3,    -5
   -5,    -4,    -2,     3
   -3,     5,     2,     1
   76,    17,     9,   -41
   84,   298,   159,   -45
    3,     0,     0,    -1
   -3,     0,     0,     2
   -3,     0,     0,     1
  -82,   292,   156,    44
  -73,    17,     9,    39
   -9,   -16,     0,     0
    3,     0,    -1,    -2
   -3,     0,     0,     0
   -9,    -5,    -3,     5
 -439,     0,     0,     0
   57,   -28,   -15,   -30
    0,    -6,    -3,     0
   -4,     0,     0,     2
  -40,    57,    30,    21
   23,     7,     3,   -13
  273,    80,    43,  -146
 -449,   430,     0,     0
   -8,   -47,   -25,     4
    6,    47,    25,    -3
    0,    23,    13,     0
   -3,     0,     0,     2
    3,    -4,    -2,    -2
  -48,  -110,   -59,    26
   51,   114,    61,   -27
 -133,     0,     0,    57
    0,     4,     0,     0
  -21,    -6,    -3,    11
    0,    -3,    -1,     0
  -11,   -21,   -11,     6
  -18,  -436,  -233,     9
   35,    -7,     0,     0
    0,     5,     3,     0
   11,    -3,    -1,    -6
   -5,    -3,    -1,     3
  -53,    -9,    -5,    28
    0,     3,     2,     1
    4,     0,     0,    -2
    0,    -4,     0,     0
  -50,   194,   103,    27
  -13,    52,    28,     7
  -91,   248,     0,     0
    6,    49,    26,    -3
   -6,   -47,   -25,     3
    0,     5,     3,     0
   52,    23,    10,   -23
   -3,     0,     0,     1
    0,     5,     3,     0
   -4,     0,     0,     0
   -4,     8,     3,     2
   10,     0,     0,     0
    3,     0,     0,    -2
    0,     8,     4,     0
    0,     8,     4,     1
   -4,     0,     0,     0
   -4,     0,     0,     0
   -8,     4,     2,     4
    8,    -4,    -2,    -4
    0,    15,     7,     0
 -138,     0,     0,     0
    0,    -7,    -3,     0
    0,    -7,    -3,     0
   54,     0,     0,   -29
    0,    10,     4,     0
   -7,     0,     0,     3
  -37,    35,    19,    20
    0,     4,     0,     0
